Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Afghanistan,1999,11517317120,,,,350.347,,,,,,29.6673,12.463,13.40115,7.5994,14.2,19262854,9538093,8,53.4,56.3,50.351
United States,1991,9.2435E+12,0.086,5287.613,,89745.156,19680.094,,1829.645,9108.509,1066.569,27.5002,8.559,1.10849,2.0541,32,251560200,54547948,31009,72,79,16.323
Equatorial Guinea,2003,14778141696,,,0.12,38771.441,,0.08,0,,,28.1526,12.636,14.23364,5.6754,17.8,789690,328559,7,53,56.2,40.047
Northern Mariana Islands,2016,,,,,0,,,,,,111.8884,4.432,0.90986,2.3953,36.2,51151,12172,0,75.2,78.7,13.235
Denmark,2020,,1.731,9.31,35.61,29380.422,103.269,5.42,0,70.733,67.891,137.4166,9.415,0.34956,1.6991,41.2,5825638,947763,1196,79.6,83.5,10.56
Gabon,1972,3528801024,,,,,,,0,,,2.4151,16.631,15.34186,5.2366,22.4,622298,225803,5,52,55.2,36.018
Ghana,2013,92004286464,,,12.03,2698.538,,2.67,,,,120.9704,8.092,5.98427,4.1357,19.6,27525586,10749682,37,60.8,64.1,32.535
United Arab Emirates,2011,5.8359E+11,,5.174,99.11,119056.133,1020.874,48.56,0,399.339,,120.7367,0.82,0.85742,1.7245,26.9,8575210,1206938,18,76.7,80.4,13.292
Saudi Arabia,1968,63038984192,,0,,43806.656,245.518,,0,235.059,0,2.6072,16.792,20.13286,7.6271,16.1,5604583,2557130,3,49.4,52.6,50.287
Ukraine,2021,,0.067,264.882,152.73,21459.945,660.588,37.39,216.458,123.14,57.136,75.1423,16.801,0.65102,1.2507,40.8,43531424,6626955,5766,66.5,76.7,7.721
Italy,2001,1.91008E+12,,154.697,319.46,36802.125,1937.946,135.36,0,1102.603,159.591,192.5669,9.751,0.54738,1.2509,39.6,56994990,8109439,5822,76.8,82.8,9.379
Belize,1982,,,,,6133.928,,,,,,6.6817,6.937,5.95054,5.5971,15.7,152420,69365,2,66.8,69.2,41.014
Japan,1987,3.16265E+12,,809.326,,37437.762,3774.433,,535.169,2547.061,267.871,324.4721,6.467,0.67568,1.6866,35.5,122268890,24367740,3781,75.6,81.4,11.075
Angola,1991,12341160960,,,,1999.737,,,0,,,9.8088,20.475,22.76222,7.2082,15.6,12228698,5712260,75,41,46.8,50.926
Ecuador,1999,84464762880,,0.012,,8880.938,89.009,,0,85.997,21.222,49.976,5.074,3.13178,3.1659,20.9,12412056,4446282,89,69.4,75.6,25.926
Uganda,1997,24283123712,,,,363.639,,,,,,109.4903,16.728,16.07246,6.9056,14,21876938,10959080,6,44.7,49.3,49.91
Norway,2005,3.14925E+11,,8.399,125.06,121278.375,169.713,3.68,0,117.615,391.04,15.1982,8.931,0.39044,1.8408,36.9,4623691,908166,501,77.7,82.5,12.272
Uzbekistan,2001,1.1989E+11,,9.224,45.44,23824.65,583.859,22.78,0,84.049,17.677,59.3522,6.791,5.74278,2.6399,20.5,25248440,9094889,41,63.1,69.1,21.781
Rwanda,1981,9053314048,,,,349.12,,,,,,224.7817,17.073,20.17136,8.1558,15.5,5441977,2542659,2,48.1,50.7,52.327
Nepal,1952,7667805184,,,,,,,,,,59.5178,25.836,33.7545,6.0338,18.6,8759893,3575673,2,37.5,38.2,46.909
Mozambique,2008,20553353216,,,12.01,2311.345,,0.39,,,,27.7799,12.536,11.27761,5.5789,16.2,21845572,9874626,21,51.5,54.7,41.61
Canada,1983,6.52318E+11,,291.115,,102532.727,1669.3,,137.932,890.696,793.073,2.7889,6.881,1.03848,1.6778,29.2,25360732,5522841,1682,72.7,79.5,15.207
Cuba,2018,92551012352,,,19.64,9819.157,,12.82,0,,,106.1114,9.815,0.53295,1.6311,40.6,11328243,1823776,2362,75.1,80.1,10.348
Romania,1962,33176961024,,,,,,,,,,81.5832,9.414,7.62256,2.0291,27.9,18770328,5263897,13,63.6,67,16.173
Montenegro,2003,4622735872,,,0,,,0,,,,45.7828,9.365,1.41037,1.8615,33,632356,132761,104,71.2,76.8,13.971
Guatemala,1956,12055894016,,,,,,,,,,34.1602,21.987,24.19475,6.9881,16.2,3660608,1671556,17,41.8,42.7,50.399
Morocco,2001,1.46279E+11,,39.693,15.65,4386.623,123.768,10.79,0,83.637,3.138,64.8221,6.365,4.96441,2.7154,21.7,28930100,9674197,58,65.5,68.9,22.249
Paraguay,2005,35459264512,,,6.86,21752.111,,1.22,,,,13.5411,5.6,3.00437,3.0396,20.4,5476881,1974861,113,67.6,73.7,24.047
Kyrgyzstan,2009,21348214784,,,9.72,11463.955,,0.9,,,,28.2278,7.079,3.16244,2.9755,22.4,5414084,1659253,17,63.8,71.9,26.735
Guinea,2013,14709018624,,,0.64,982.067,,0.12,,,,44.992,10.947,11.07117,5.1165,16.6,11055433,4841820,5,56.5,59,38.134
Portugal,2007,2.66977E+11,0.528,33.437,54.38,28116.701,249.111,20.93,0,171.78,47.958,114.8617,9.805,0.42066,1.3511,39.3,10565547,1650388,1020,75.9,82.5,9.712
